p-lables,per_batch,per_box,length/mm,width/mm,layers,p_weight_g/m2,pieces_per_one,decoration,scent,materials,next_m,clust.num
87,3,16,153,195,3,13,150,双压线,0,13g 超韧软抽原纸,28017.3429,2
88,4,16,133,195,3,13,120,压线,0,13g 超韧软抽原纸,2028.208837,2
89,10,6,133,195,3,13,120,双压线,0,13g 超韧软抽原纸,8707.140434,2
90,3,12,153,195,3,13,150,双压线,0,13.3g/㎡ 婴儿纸面巾（毛巾柔）原纸,31569.51556,6
91,6,10,153,195,2,15,180,双压线,0,15.0g 软抽原纸,93391.56127,3
92,6,4,153,195,3,13,120,双压线,0,13g 超韧软抽原纸,4730.387819,2
93,8,8,153,195,2,15,150,双压线,0,15.0g 软抽原纸,450.6530498,3
94,4,16,133,195,3,13,100,双压线,0,13.3克婴儿软抽,766.9158645,2
95,1,18,153,195,3,13,150,双压线,0,13.3克婴儿软抽,2243.410623,2
96,6,8,133,195,3,14.5,110,上两层压郁金香细点纹+下１层压小点纹（无色）,0,15.3g/㎡立体美纸面巾原纸,1018.585891,7
97,5,6,153,195,3,13,90,双压线,0,13g 超韧软抽原纸,404.6457121,2
98,10,3,133,195,3,14.5,110,上两层压郁金香细点纹+下１层压小点纹（无色）,0,15.3g/㎡立体美纸面巾原纸,2671.441501,7
99,8,6,153,195,3,14.5,110,上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）。,0,15.3g/㎡立体美纸面巾原纸,12873.01817,2
100,3,16,133,195,3,13,150,压线,0,13g 超韧软抽原纸,17920.40564,2
101,8,3,153,195,3,13,110,压线,0,13g 超韧软抽原纸,12238.47317,2
102,10,8,153,195,3,13,90,双压线,0,13g 超韧软抽原纸,156676.1671,2
103,8,6,133,195,3,13,150,双压线,0,13g 超韧软抽原纸,63948.03678,2
104,24,1,133,195,3,13,150,双压线,0,13g 超韧软抽原纸,8224.235575,2
105,24,1,153,195,3,13,150,双压线,0,13g 超韧软抽原纸,9282.411769,2
106,18,1,153,195,3,13,150,双压线,0,13g 超韧软抽原纸,3847.078933,2
107,3,12,153,195,3,14.5,100,压花工艺：上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）。,0,15.3g/㎡立体美纸面巾原纸,63420.14538,7
